Caller	Callee
org.apache.commons.codec.language.DoubleMetaphone.contains(String,int,int,String,String,String,String,String,String)	org.apache.commons.codec.language.DoubleMetaphone.contains(String,int,int,String[])
org.apache.commons.codec.language.MetaphoneTest.testMetaphone()	org.apache.commons.codec.language.Metaphone.metaphone(String)
org.apache.commons.codec.base64.Base64Test.testEncodeDecodeSmall()	org.apache.commons.codec.base64.Base64.encode(byte[])
org.apache.commons.codec.language.DoubleMetaphone.handleCC(String,DoubleMetaphoneResult,int)	org.apache.commons.codec.language.DoubleMetaphone.contains(String,int,int,String)
org.apache.commons.codec.language.DoubleMetaphone.handleD(String,DoubleMetaphoneResult,int)	org.apache.commons.codec.language.DoubleMetaphone.contains(String,int,int,String,String,String)
org.apache.commons.codec.language.DoubleMetaphone.handleSC(String,DoubleMetaphoneResult,int)	org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult.append(String,String)
org.apache.commons.codec.language.DoubleMetaphone.doubleMetaphone(String,boolean)	org.apache.commons.codec.language.DoubleMetaphone.handleC(String,DoubleMetaphoneResult,int)
org.apache.commons.codec.language.DoubleMetaphone.doubleMetaphone(String,boolean)	org.apache.commons.codec.language.DoubleMetaphone.handleZ(String,DoubleMetaphoneResult,int,boolean)
org.apache.commons.codec.binary.Base64Test.testObjectDecodeWithValidParameter()	org.apache.commons.codec.binary.Base64.decode(Object)
org.apache.commons.codec.base64.Base64Test.testEncodeDecodeSmall()	org.apache.commons.codec.base64.Base64.decode(byte[])
org.apache.commons.codec.language.DoubleMetaphone.doubleMetaphone(String,boolean)	org.apache.commons.codec.language.DoubleMetaphone.handleR(String,DoubleMetaphoneResult,int,boolean)
org.apache.commons.codec.language.DoubleMetaphone.handleSC(String,DoubleMetaphoneResult,int)	org.apache.commons.codec.language.DoubleMetaphone.contains(String,int,int,String,String)
org.apache.commons.codec.language.DoubleMetaphone.doubleMetaphone(String,boolean)	org.apache.commons.codec.language.DoubleMetaphone.handleJ(String,DoubleMetaphoneResult,int,boolean)
org.apache.commons.codec.digest.DigestUtilsTest.testMD5Length()	org.apache.commons.codec.digest.DigestUtils.md5(byte[])
org.apache.commons.codec.binary.Base64.decodeBase64(byte[])	org.apache.commons.codec.binary.Base64.discardNonBase64(byte[])
org.apache.commons.codec.language.DoubleMetaphone.handleSC(String,DoubleMetaphoneResult,int)	org.apache.commons.codec.language.DoubleMetaphone.isVowel(char)
org.apache.commons.codec.digest.DigestUtils.sha(String)	org.apache.commons.codec.digest.DigestUtils.sha(byte[])
org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult.append(char)	org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult.appendPrimary(char)
org.apache.commons.codec.StringEncoderComparator.compare(Object,Object)	org.apache.commons.codec.Encoder.encode(Object)
org.apache.commons.codec.binary.Base64Test.testDiscardingOfWhiteSpace()	org.apache.commons.codec.binary.Base64.decodeBase64(byte[])
org.apache.commons.codec.language.DoubleMetaphone.handleC(String,DoubleMetaphoneResult,int)	org.apache.commons.codec.language.DoubleMetaphone.contains(String,int,int,String,String,String)
org.apache.commons.codec.language.DoubleMetaphone.handleS(String,DoubleMetaphoneResult,int,boolean)	org.apache.commons.codec.language.DoubleMetaphone.contains(String,int,int,String)
org.apache.commons.codec.language.DoubleMetaphone.handleS(String,DoubleMetaphoneResult,int,boolean)	org.apache.commons.codec.language.DoubleMetaphone.contains(String,int,int,String,String)
org.apache.commons.codec.net.URLCodecTest.testBasicEncodeDecode()	org.apache.commons.codec.net.URLCodec.encode(String)
org.apache.commons.codec.StringEncoderAbstractTest.testEncodeNull()	org.apache.commons.codec.StringEncoderAbstractTest.makeEncoder()
org.apache.commons.codec.binary.Base64Test.testKnownEncodings()	org.apache.commons.codec.binary.Base64.encodeBase64(byte[])
org.apache.commons.codec.language.DoubleMetaphone.handleJ(String,DoubleMetaphoneResult,int,boolean)	org.apache.commons.codec.language.DoubleMetaphone.charAt(String,int)
org.apache.commons.codec.language.DoubleMetaphone.handleP(String,DoubleMetaphoneResult,int)	org.apache.commons.codec.language.DoubleMetaphone.charAt(String,int)
org.apache.commons.codec.net.URLCodec.encode(String)	org.apache.commons.codec.net.URLCodec.encode(byte[])
org.apache.commons.codec.language.DoubleMetaphone.conditionL0(String,int)	org.apache.commons.codec.language.DoubleMetaphone.contains(String,int,int,String,String,String)
